.\Solatenol_exp_ESLS1986_0VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   1.928    0.06    0.05
   2   1.928    0.09    0.08
   3   1.928    0.06    0.09
   4   1.928    0.04    0.04
   5   1.928    0.05    0.04
   6   1.928    0.02    0.03
   7   1.928    0.03    0.05
   8   1.928    0.01    0.07
   9   1.928    0.03    0.06
  10   1.926    0.03    0.04
  11   1.926    0.03    0.08
  12   1.926    0.05    0.04
  13   1.926    0.06    0.04
  14   1.926    0.05    0.06
  15   1.926    0.07    0.05
  16   1.956    0.05    0.02
  17   2.080    0.05    0.09
  18   2.080    0.03    0.04
  19   2.040    0.01    0.04
  20   2.000    0.04    0.03
  21   1.984    0.06    0.02
  22   1.968    0.11    0.05
  23   1.958    0.08    0.05
  24   1.950    0.05    0.05
  25   1.946    0.04    0.04
  26   1.942    0.06    0.04
  27   1.940    0.03    0.05
  28   1.938    0.03    0.06
  29   1.936    0.06    0.04
  30   1.934    0.01    0.05
  31   1.934    0.06    0.04
  32   1.934    0.07    0.04
  33   1.932    0.08    0.03
  34   1.942    0.03    0.05
  35   2.020    0.03    0.03
  36   2.000    0.02    0.05
  37   1.982    0.03    0.06
  38   1.968    0.03    0.05
  39   1.958    0.10    0.04
  40   1.950    0.05    0.07
  41   1.946    0.05    0.05
  42   1.942    0.12    0.05
  43   1.940    0.02    0.08
  44   1.938    0.05    0.03
  45   1.936    0.03    0.05
  46   1.936    0.10    0.05
  47   1.936    0.09    0.05
  48   1.934    0.06    0.06
  49   1.934    0.02    0.05
  50   1.936    0.05    0.07
  51   1.934    0.04    0.05
  52   1.934    0.03    0.08
  53   1.934    0.09    0.03
  54   1.934    0.04    0.05
  55   1.932    0.04    0.04
  56   1.932    0.05    0.05
  57   1.932    0.02    0.04
  58   1.932    0.07    0.05
  59   1.932    0.06    0.06
  60   1.932    0.06    0.04
  61   1.932    0.02    0.04
  62   1.932    0.02    0.06
  63   1.932    0.05    0.07
  64   1.930    0.02    0.02
  65   1.930    0.04    0.03
  66   1.930    0.05    0.04
  67   1.930    0.03    0.05
  68   1.930    0.04    0.04
  69   1.930    0.03    0.04
  70   1.930    0.06    0.06
  71   1.930    0.04    0.05
  72   1.930    0.02    0.07
  73   1.928    0.05    0.04
  74   1.928    0.07    0.04
  75   1.928    0.03    0.04
  76   1.928    0.05    0.05
  77   1.944    0.04    0.04
  78   1.938    0.04    0.03
  79   1.934    0.05    0.06
  80   1.932    0.08    0.06
  81   1.930    0.03    0.05
