.\Solatenol_exp_ESLS1986_0VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
 210   1.605    0.04    0.04
 211   1.605    0.06    0.06
 212   1.605    0.02    0.03
 213   1.605    0.03    0.02
 214   1.605    0.06    0.06
 215   1.605    0.01    0.03
 216   1.605    0.06    0.05
 217   1.635    0.03    0.05
 218   1.620    0.04    0.04
 219   1.680    0.07    0.04
 220   1.650    0.02    0.05
 221   1.635    0.03    0.03
 222   1.620    0.05    0.05
 223   1.620    0.02    0.05
 224   1.605    0.05    0.05
 225   1.605    0.03    0.05
 226   1.605    0.02    0.03
 227   1.590    0.10    0.03
 228   1.590    0.02    0.03
 229   1.590    0.05    0.05
 230   1.590    0.08    0.04
 231   1.590    0.08    0.04
 232   1.590    0.03    0.04
 233   1.590    0.05    0.03
 234   1.590    0.06    0.03
 235   1.575    0.06    0.07
 236   1.575    0.05    0.03
 237   1.575    0.03    0.04
 238   1.575    0.05    0.04
 239   1.575    0.12    0.06
 240   1.575    0.09    0.05
 241   1.575    0.05    0.05
 242   1.575    0.04    0.05
 243   1.575    0.04    0.05
 244   1.575    0.03    0.04
 245   1.575    0.06    0.05
 246   1.575    0.03    0.04
 247   1.575    0.04    0.04
 248   1.575    0.03    0.05
 249   1.575    0.03    0.06
 250   1.560    0.05    0.07
 251   1.560    0.07    0.03
 252   1.560    0.03    0.05
 253   1.560    0.03    0.04
 254   1.560    0.03    0.05
 255   1.560    0.09    0.04
 256   1.560    0.03    0.07
 257   1.560    0.04    0.03
 258   1.560    0.04    0.05
 259   1.560    0.04    0.04
 260   1.560    0.03    0.04
 261   1.560    0.07    0.07
 262   1.605    0.05    0.04
 263   1.590    0.03    0.04
 264   1.575    0.04    0.05
 265   1.605    0.05    0.05
 266   1.590    0.02    0.03
 267   1.875    0.10    0.05
 268   1.785    0.05    0.02
 269   1.725    0.04    0.06
 270   1.680    0.04    0.04
 271   1.635    0.07    0.04
 272   1.725    0.03    0.05
 273   1.680    0.03    0.04
 274   1.665    0.01    0.03
 275   1.635    0.02    0.09
 276   1.635    0.07    0.05
 277   1.620    0.06    0.06
 278   1.605    0.02    0.05
 279   1.590    0.03    0.05
 280   1.590    0.03    0.06
 281   1.575    0.07    0.06
 282   1.575    0.02    0.05
 283   1.575    0.04    0.04
