.\Solatenol_exp_ESLS1986_0VFS.dat			
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
 210   1.070    0.04    0.04
 211   1.070    0.06    0.06
 212   1.070    0.02    0.03
 213   1.070    0.03    0.02
 214   1.070    0.06    0.06
 215   1.070    0.01    0.03
 216   1.070    0.06    0.05
 217   1.090    0.03    0.05
 218   1.080    0.04    0.04
 219   1.120    0.07    0.04
 220   1.100    0.02    0.05
 221   1.090    0.03    0.03
 222   1.080    0.05    0.05
 223   1.080    0.02    0.05
 224   1.070    0.05    0.05
 225   1.070    0.03    0.05
 226   1.070    0.02    0.03
 227   1.060    0.10    0.03
 228   1.060    0.02    0.03
 229   1.060    0.05    0.05
 230   1.060    0.08    0.04
 231   1.060    0.08    0.04
 232   1.060    0.03    0.04
 233   1.060    0.05    0.03
 234   1.060    0.06    0.03
 235   1.050    0.06    0.07
 236   1.050    0.05    0.03
 237   1.050    0.03    0.04
 238   1.050    0.05    0.04
 239   1.050    0.12    0.06
 240   1.050    0.09    0.05
 241   1.050    0.05    0.05
 242   1.050    0.04    0.05
 243   1.050    0.04    0.05
 244   1.050    0.03    0.04
 245   1.050    0.06    0.05
 246   1.050    0.03    0.04
 247   1.050    0.04    0.04
 248   1.050    0.03    0.05
 249   1.050    0.03    0.06
 250   1.040    0.05    0.07
 251   1.040    0.07    0.03
 252   1.040    0.03    0.05
 253   1.040    0.03    0.04
 254   1.040    0.03    0.05
 255   1.040    0.09    0.04
 256   1.040    0.03    0.07
 257   1.040    0.04    0.03
 258   1.040    0.04    0.05
 259   1.040    0.04    0.04
 260   1.040    0.03    0.04
 261   1.040    0.07    0.07
 262   1.070    0.05    0.04
 263   1.060    0.03    0.04
 264   1.050    0.04    0.05
 265   1.070    0.05    0.05
 266   1.060    0.02    0.03
 267   1.250    0.10    0.05
 268   1.190    0.05    0.02
 269   1.150    0.04    0.06
 270   1.120    0.04    0.04
 271   1.090    0.07    0.04
 272   1.150    0.03    0.05
 273   1.120    0.03    0.04
 274   1.110    0.01    0.03
 275   1.090    0.02    0.09
 276   1.090    0.07    0.05
 277   1.080    0.06    0.06
 278   1.070    0.02    0.05
 279   1.060    0.03    0.05
 280   1.060    0.03    0.06
 281   1.050    0.07    0.06
 282   1.050    0.02    0.05
 283   1.050    0.04    0.04
 284   1.050    0.04    0.06
 285   1.050    0.04    0.05
 286   1.050    0.04    0.03
 287   1.050    0.05    0.04
 288   1.040    0.03    0.06
 289   1.040    0.05    0.04
 290   1.040    0.03    0.04
 291   1.040    0.03    0.07
 292   1.040    0.02    0.05
 293   1.040    0.04    0.04
 294   1.040    0.03    0.03
 295   1.040    0.06    0.05
 296   1.040    0.05    0.07
 297   1.040    0.06    0.03
 298   1.180    0.03    0.04
 299   1.140    0.05    0.04
 300   1.110    0.05    0.06
 301   1.090    0.03    0.06
 302   1.070    0.06    0.05
 303   1.060    0.04    0.05
 304   1.060    0.02    0.06
 305   1.050    0.04    0.06
 306   1.050    0.03    0.05
 307   1.050    0.03    0.05
 308   1.040    0.05    0.05
 309   1.040    0.08    0.07
 310   1.040    0.04    0.06
 311   1.040    0.04    0.06
 312   1.040    0.05    0.04
 313   1.040    0.10    0.04
 314   1.040    0.09    0.07
 315   1.040    0.04    0.03
 316   1.040    0.09    0.04
 317   1.040    0.06    0.05
 318   1.040    0.03    0.03
 319   1.040    0.02    0.04
 320   1.040    0.04    0.03
 321   1.040    0.05    0.05
 322   1.040    0.02    0.02
 323   1.040    0.09    0.03
 324   1.040    0.03    0.03
 325   1.040    0.04    0.04
 326   1.040    0.03    0.06
 327   1.040    0.04    0.03
 328   1.040    0.03    0.04
 329   1.040    0.05    0.06
 330   1.040    0.04    0.05
 331   1.040    0.03    0.04
 332   1.030    0.03    0.04
 333   1.030    0.01    0.05
 334   1.030    0.04    0.06
 335   1.110    0.05    0.05
 336   1.090    0.05    0.05
 337   1.070    0.06    0.03
 338   1.060    0.03    0.08
 339   1.050    0.05    0.03
 340   1.050    0.02    0.05
 341   1.060    0.06    0.04
 342   1.060    0.02    0.03
 343   1.050    0.03    0.04
 344   1.050    0.05    0.04
 345   1.040    0.03    0.05
 346   1.040    0.04    0.04
 347   1.040    0.04    0.06
 348   1.040    0.03    0.05
 349   1.040    0.02    0.03
 350   1.040    0.04    0.03
 351   1.040    0.05    0.05
 352   1.040    0.05    0.04
 353   1.040    0.03    0.05
 354   1.040    0.04    0.04
 355   1.040    0.03    0.04
 356   1.040    0.03    0.06
 357   1.040    0.04    0.06
 358   1.040    0.03    0.05
 359   1.040    0.01    0.03
 360   1.040    0.02    0.06
 361   1.040    0.06    0.09
 362   1.030    0.05    0.07
 363   1.030    0.03    0.08
 364   1.030    0.03    0.03
 365   1.030    0.03    0.06
