.\Solatenol_exp_ESLS1986_0VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   2.892    0.06    0.05
   2   2.892    0.09    0.08
   3   2.892    0.06    0.09
   4   2.892    0.04    0.04
   5   2.892    0.05    0.04
   6   2.892    0.02    0.03
   7   2.892    0.03    0.05
   8   2.892    0.01    0.07
   9   2.892    0.03    0.06
  10   2.889    0.03    0.04
  11   2.889    0.03    0.08
  12   2.889    0.05    0.04
  13   2.889    0.06    0.04
  14   2.889    0.05    0.06
  15   2.889    0.07    0.05
  16   2.934    0.05    0.02
  17   3.120    0.05    0.09
  18   3.120    0.03    0.04
  19   3.060    0.01    0.04
  20   3.000    0.04    0.03
  21   2.976    0.06    0.02
  22   2.952    0.11    0.05
  23   2.937    0.08    0.05
  24   2.925    0.05    0.05
  25   2.919    0.04    0.04
  26   2.913    0.06    0.04
  27   2.910    0.03    0.05
  28   2.907    0.03    0.06
  29   2.904    0.06    0.04
  30   2.901    0.01    0.05
  31   2.901    0.06    0.04
  32   2.901    0.07    0.04
  33   2.898    0.08    0.03
  34   2.913    0.03    0.05
  35   3.030    0.03    0.03
  36   3.000    0.02    0.05
  37   2.973    0.03    0.06
  38   2.952    0.03    0.05
  39   2.937    0.10    0.04
  40   2.925    0.05    0.07
  41   2.919    0.05    0.05
  42   2.913    0.12    0.05
  43   2.910    0.02    0.08
  44   2.907    0.05    0.03
  45   2.904    0.03    0.05
  46   2.904    0.10    0.05
  47   2.904    0.09    0.05
  48   2.901    0.06    0.06
  49   2.901    0.02    0.05
  50   2.904    0.05    0.07
  51   2.901    0.04    0.05
  52   2.901    0.03    0.08
  53   2.901    0.09    0.03
  54   2.901    0.04    0.05
  55   2.898    0.04    0.04
  56   2.898    0.05    0.05
  57   2.898    0.02    0.04
  58   2.898    0.07    0.05
  59   2.898    0.06    0.06
  60   2.898    0.06    0.04
  61   2.898    0.02    0.04
  62   2.898    0.02    0.06
  63   2.898    0.05    0.07
  64   2.895    0.02    0.02
  65   2.895    0.04    0.03
  66   2.895    0.05    0.04
  67   2.895    0.03    0.05
  68   2.895    0.04    0.04
  69   2.895    0.03    0.04
  70   2.895    0.06    0.06
  71   2.895    0.04    0.05
  72   2.895    0.02    0.07
  73   2.892    0.05    0.04
  74   2.892    0.07    0.04
  75   2.892    0.03    0.04
  76   2.892    0.05    0.05
  77   2.916    0.04    0.04
  78   2.907    0.04    0.03
  79   2.901    0.05    0.06
  80   2.898    0.08    0.06
  81   2.895    0.03    0.05
