.\TS_CASM_Inp\T3DIGPondWater_2019.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   0.652    0.06    0.05
   2   0.651    0.09    0.08
   3   0.651    0.06    0.09
   4   0.651    0.04    0.04
   5   0.650    0.05    0.04
   6   0.650    0.02    0.03
   7   0.649    0.03    0.05
   8   0.649    0.01    0.07
   9   0.649    0.03    0.06
  10   0.648    0.03    0.04
  11   0.648    0.03    0.08
  12   0.647    0.05    0.04
  13   0.647    0.06    0.04
  14   0.647    0.05    0.06
  15   0.646    0.07    0.05
  16   0.646    0.05    0.02
  17   0.646    0.05    0.09
  18   0.645    0.03    0.04
  19   0.645    0.01    0.04
  20   0.644    0.04    0.03
  21   0.644    0.06    0.02
  22   0.644    0.11    0.05
  23   0.643    0.08    0.05
  24   0.643    0.05    0.05
  25   0.642    0.04    0.04
  26   0.642    0.06    0.04
  27   0.642    0.03    0.05
  28   0.641    0.03    0.06
  29   0.641    0.06    0.04
  30   0.641    0.01    0.05
  31   0.640    0.06    0.04
  32   0.640    0.07    0.04
  33   0.639    0.08    0.03
  34   0.639    0.03    0.05
  35   0.639    0.03    0.03
  36   0.638    0.02    0.05
  37   0.638    0.03    0.06
  38   0.638    0.03    0.05
  39   0.637    0.10    0.04
  40   0.637    0.05    0.07
  41   0.636    0.05    0.05
  42   0.636    0.12    0.05
  43   0.636    0.02    0.08
  44   0.635    0.05    0.03
  45   0.635    0.03    0.05
  46   0.635    0.10    0.05
  47   0.634    0.09    0.05
  48   0.634    0.06    0.06
  49   0.633    0.02    0.05
  50   0.633    0.05    0.07
  51   0.633    0.04    0.05
  52   0.632    0.03    0.08
  53   0.632    0.09    0.03
  54   0.632    0.04    0.05
  55   0.631    0.04    0.04
  56   0.631    0.05    0.05
  57   0.630    0.02    0.04
  58   0.630    0.07    0.05
  59   0.630    0.06    0.06
  60   0.629    0.06    0.04
  61   0.629    0.02    0.04
  62   0.629    0.02    0.06
  63   0.628    0.05    0.07
  64   0.628    0.02    0.02
  65   0.627    0.04    0.03
  66   0.627    0.05    0.04
  67   0.627    0.03    0.05
  68   0.626    0.04    0.04
  69   0.626    0.03    0.04
  70   0.626    0.06    0.06
  71   0.625    0.04    0.05
  72   0.625    0.02    0.07
  73   0.624    0.05    0.04
  74   0.624    0.07    0.04
  75   0.624    0.03    0.04
  76   0.623    0.05    0.05
  77   0.623    0.04    0.04
  78   0.623    0.04    0.03
  79   0.622    0.05    0.06
  80   0.622    0.08    0.06
  81   0.621    0.03    0.05
