.\Solatenol_exp_ESLS1986_0VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   96.40    0.06    0.05
   2   96.40    0.09    0.08
   3   96.40    0.06    0.09
   4   96.40    0.04    0.04
   5   96.40    0.05    0.04
   6   96.40    0.02    0.03
   7   96.40    0.03    0.05
   8   96.40    0.01    0.07
   9   96.40    0.03    0.06
  10   96.30    0.03    0.04
  11   96.30    0.03    0.08
  12   96.30    0.05    0.04
  13   96.30    0.06    0.04
  14   96.30    0.05    0.06
  15   96.30    0.07    0.05
  16   97.80    0.05    0.02
  17   104.0    0.05    0.09
  18   104.0    0.03    0.04
  19   102.0    0.01    0.04
  20   100.0    0.04    0.03
  21   99.20    0.06    0.02
  22   98.40    0.11    0.05
  23   97.90    0.08    0.05
  24   97.50    0.05    0.05
  25   97.30    0.04    0.04
  26   97.10    0.06    0.04
  27   97.00    0.03    0.05
  28   96.90    0.03    0.06
  29   96.80    0.06    0.04
  30   96.70    0.01    0.05
  31   96.70    0.06    0.04
  32   96.70    0.07    0.04
  33   96.60    0.08    0.03
  34   97.10    0.03    0.05
  35   101.0    0.03    0.03
  36   100.0    0.02    0.05
  37   99.10    0.03    0.06
  38   98.40    0.03    0.05
  39   97.90    0.10    0.04
  40   97.50    0.05    0.07
  41   97.30    0.05    0.05
  42   97.10    0.12    0.05
  43   97.00    0.02    0.08
  44   96.90    0.05    0.03
  45   96.80    0.03    0.05
  46   96.80    0.10    0.05
  47   96.80    0.09    0.05
  48   96.70    0.06    0.06
  49   96.70    0.02    0.05
  50   96.80    0.05    0.07
  51   96.70    0.04    0.05
  52   96.70    0.03    0.08
  53   96.70    0.09    0.03
  54   96.70    0.04    0.05
  55   96.60    0.04    0.04
  56   96.60    0.05    0.05
  57   96.60    0.02    0.04
  58   96.60    0.07    0.05
  59   96.60    0.06    0.06
  60   96.60    0.06    0.04
  61   96.60    0.02    0.04
  62   96.60    0.02    0.06
  63   96.60    0.05    0.07
  64   96.50    0.02    0.02
  65   96.50    0.04    0.03
  66   96.50    0.05    0.04
  67   96.50    0.03    0.05
  68   96.50    0.04    0.04
  69   96.50    0.03    0.04
  70   96.50    0.06    0.06
  71   96.50    0.04    0.05
  72   96.50    0.02    0.07
  73   96.40    0.05    0.04
  74   96.40    0.07    0.04
  75   96.40    0.03    0.04
  76   96.40    0.05    0.05
  77   97.20    0.04    0.04
  78   96.90    0.04    0.03
  79   96.70    0.05    0.06
  80   96.60    0.08    0.06
  81   96.50    0.03    0.05
