.\TS_CASM_Inp\Solatenol_exp_ESLS1986_15VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   30.40    0.06    0.05
   2   30.40    0.09    0.08
   3   30.40    0.06    0.09
   4   30.40    0.04    0.04
   5   30.40    0.05    0.04
   6   30.40    0.02    0.03
   7   30.30    0.03    0.05
   8   30.30    0.01    0.07
   9   30.30    0.03    0.06
  10   30.30    0.03    0.04
  11   30.30    0.03    0.08
  12   30.30    0.05    0.04
  13   30.30    0.06    0.04
  14   30.30    0.05    0.06
  15   30.30    0.07    0.05
  16   30.30    0.05    0.02
  17   30.30    0.05    0.09
  18   30.30    0.03    0.04
  19   30.30    0.01    0.04
  20   30.30    0.04    0.03
  21   30.30    0.06    0.02
  22   30.30    0.11    0.05
  23   30.30    0.08    0.05
  24   30.30    0.05    0.05
  25   30.30    0.04    0.04
  26   30.30    0.06    0.04
  27   30.30    0.03    0.05
  28   30.30    0.03    0.06
  29   30.30    0.06    0.04
  30   30.30    0.01    0.05
  31   30.30    0.06    0.04
  32   30.30    0.07    0.04
  33   30.30    0.08    0.03
  34   30.30    0.03    0.05
  35   30.30    0.03    0.03
  36   30.30    0.02    0.05
  37   30.30    0.03    0.06
  38   30.30    0.03    0.05
  39   30.20    0.10    0.04
  40   30.20    0.05    0.07
  41   30.20    0.05    0.05
  42   30.20    0.12    0.05
  43   30.20    0.02    0.08
  44   30.20    0.05    0.03
  45   30.20    0.03    0.05
  46   30.20    0.10    0.05
  47   30.20    0.09    0.05
  48   30.20    0.06    0.06
  49   30.20    0.02    0.05
  50   30.20    0.05    0.07
  51   30.20    0.04    0.05
  52   30.20    0.03    0.08
  53   30.20    0.09    0.03
  54   30.20    0.04    0.05
  55   30.20    0.04    0.04
  56   30.20    0.05    0.05
  57   30.20    0.02    0.04
  58   30.20    0.07    0.05
  59   30.20    0.06    0.06
  60   30.20    0.06    0.04
  61   30.20    0.02    0.04
  62   30.20    0.02    0.06
  63   30.20    0.05    0.07
  64   30.20    0.02    0.02
  65   30.20    0.04    0.03
  66   30.20    0.05    0.04
  67   30.20    0.03    0.05
  68   30.20    0.04    0.04
  69   30.20    0.03    0.04
  70   30.20    0.06    0.06
  71   30.10    0.04    0.05
  72   30.10    0.02    0.07
  73   30.10    0.05    0.04
  74   30.10    0.07    0.04
  75   30.10    0.03    0.04
  76   30.10    0.05    0.05
  77   30.10    0.04    0.04
  78   30.10    0.04    0.03
  79   30.10    0.05    0.06
  80   30.10    0.08    0.06
