.\TS_CASM_Inp\T3DIGPondWater_2019.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
  82   0.186    0.06    0.07
  83   0.186    0.04    0.04
  84   0.186    0.03    0.05
  85   0.186    0.06    0.05
  86   0.184    0.06    0.05
  87   0.182    0.03    0.08
  88   0.180    0.04    0.04
  89   0.178    0.04    0.09
  90   0.176    0.15    0.07
  91   0.174    0.03    0.03
  92   0.172    0.05    0.04
  93   0.170    0.05    0.03
  94   0.168    0.03    0.03
  95   0.166    0.03    0.03
  96   0.164    0.04    0.04
  97   0.162    0.05    0.04
  98   0.160    0.06    0.04
  99   0.158    0.05    0.04
 100   0.157    0.03    0.04
 101   0.155    0.03    0.08
 102   0.153    0.02    0.06
 103   0.151    0.03    0.06
 104   0.150    0.05    0.03
 105   0.148    0.03    0.04
 106   0.146    0.03    0.06
 107   0.145    0.07    0.06
 108   0.143    0.09    0.06
 109   0.141    0.03    0.04
 110   0.140    0.05    0.05
 111   0.138    0.03    0.06
 112   0.137    0.07    0.03
 113   0.135    0.03    0.07
 114   0.134    0.04    0.04
 115   0.132    0.03    0.04
 116   0.136    0.07    0.05
 117   0.141    0.05    0.05
 118   0.145    0.02    0.11
 119   0.150    0.04    0.05
 120   0.155    0.05    0.06
 121   0.160    0.07    0.03
 122   0.165    0.02    0.05
 123   0.170    0.02    0.04
 124   0.175    0.03    0.07
 125   0.181    0.03    0.05
 126   0.187    0.08    0.05
 127   0.193    0.03    0.05
 128   0.199    0.07    0.04
 129   0.206    0.03    0.04
 130   0.212    0.11    0.04
 131   0.219    0.05    0.05
 132   0.226    0.04    0.08
 133   0.233    0.04    0.07
 134   0.241    0.08    0.06
 135   0.249    0.08    0.05
 136   0.257    0.04    0.06
 137   0.265    0.04    0.06
 138   0.273    0.02    0.06
 139   0.282    0.04    0.05
 140   0.291    0.03    0.02
 141   0.301    0.03    0.04
 142   0.310    0.06    0.04
 143   0.320    0.02    0.07
 144   0.316    0.03    0.03
 145   0.313    0.03    0.05
 146   0.309    0.03    0.06
 147   0.306    0.05    0.07
 148   0.302    0.03    0.04
 149   0.299    0.06    0.03
 150   0.295    0.04    0.03
 151   0.292    0.05    0.04
 152   0.289    0.05    0.05
 153   0.285    0.04    0.06
 154   0.282    0.04    0.05
 155   0.279    0.10    0.04
 156   0.276    0.03    0.05
 157   0.272    0.04    0.05
 158   0.269    0.02    0.04
 159   0.266    0.04    0.08
 160   0.263    0.05    0.04
 161   0.260    0.04    0.04
 162   0.257    0.04    0.03
 163   0.254    0.03    0.04
 164   0.251    0.02    0.05
 165   0.248    0.06    0.06
 166   0.246    0.04    0.03
