.\TS_CASM_Inp\Solatenol_exp_ESLS1986_15VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
 209   3.520    0.05    0.06
 210   3.510    0.04    0.04
 211   3.510    0.06    0.06
 212   3.500    0.02    0.03
 213   3.500    0.03    0.02
 214   3.490    0.06    0.06
 215   3.490    0.01    0.03
 216   3.490    0.06    0.05
 217   3.490    0.03    0.05
 218   3.480    0.04    0.04
 219   3.550    0.07    0.04
 220   3.530    0.02    0.05
 221   3.510    0.03    0.03
 222   3.500    0.05    0.05
 223   3.490    0.02    0.05
 224   3.480    0.05    0.05
 225   3.470    0.03    0.05
 226   3.470    0.02    0.03
 227   3.460    0.10    0.03
 228   3.460    0.02    0.03
 229   3.460    0.05    0.05
 230   3.460    0.08    0.04
 231   3.450    0.08    0.04
 232   3.450    0.03    0.04
 233   3.450    0.05    0.03
 234   3.440    0.06    0.03
 235   3.440    0.06    0.07
 236   3.440    0.05    0.03
 237   3.440    0.03    0.04
 238   3.440    0.05    0.04
 239   3.430    0.12    0.06
 240   3.430    0.09    0.05
 241   3.430    0.05    0.05
 242   3.430    0.04    0.05
 243   3.420    0.04    0.05
 244   3.420    0.03    0.04
 245   3.420    0.06    0.05
 246   3.420    0.03    0.04
 247   3.420    0.04    0.04
 248   3.410    0.03    0.05
 249   3.410    0.03    0.06
 250   3.410    0.05    0.07
 251   3.410    0.07    0.03
 252   3.410    0.03    0.05
 253   3.410    0.03    0.04
 254   3.400    0.03    0.05
 255   3.400    0.09    0.04
 256   3.400    0.03    0.07
 257   3.400    0.04    0.03
 258   3.400    0.04    0.05
 259   3.390    0.04    0.04
 260   3.390    0.03    0.04
 261   3.390    0.07    0.07
 262   3.390    0.05    0.04
 263   3.390    0.03    0.04
 264   3.390    0.04    0.05
 265   3.380    0.05    0.05
 266   3.380    0.02    0.03
 267   3.920    0.10    0.05
 268   3.760    0.05    0.02
 269   3.650    0.04    0.06
 270   3.570    0.04    0.04
 271   3.520    0.07    0.04
 272   3.530    0.03    0.05
 273   3.490    0.03    0.04
 274   3.460    0.01    0.03
 275   3.440    0.02    0.09
 276   3.420    0.07    0.05
 277   3.410    0.06    0.06
 278   3.400    0.02    0.05
 279   3.400    0.03    0.05
 280   3.390    0.03    0.06
 281   3.390    0.07    0.06
 282   3.380    0.02    0.05
 283   3.380    0.04    0.04
 284   3.380    0.04    0.06
 285   3.380    0.04    0.05
 286   3.370    0.04    0.03
 287   3.370    0.05    0.04
 288   3.370    0.03    0.06
 289   3.370    0.05    0.04
 290   3.370    0.03    0.04
 291   3.370    0.03    0.07
 292   3.360    0.02    0.05
 293   3.360    0.04    0.04
 294   3.360    0.03    0.03
 295   3.360    0.06    0.05
 296   3.360    0.05    0.07
 297   3.360    0.06    0.03
 298   3.510    0.03    0.04
 299   3.460    0.05    0.04
 300   3.430    0.05    0.06
 301   3.410    0.03    0.06
 302   3.390    0.06    0.05
 303   3.380    0.04    0.05
 304   3.370    0.02    0.06
 305   3.370    0.04    0.06
 306   3.360    0.03    0.05
 307   3.360    0.03    0.05
 308   3.360    0.05    0.05
 309   3.350    0.08    0.07
 310   3.350    0.04    0.06
 311   3.350    0.04    0.06
 312   3.350    0.05    0.04
 313   3.350    0.10    0.04
 314   3.350    0.09    0.07
 315   3.350    0.04    0.03
 316   3.350    0.09    0.04
 317   3.340    0.06    0.05
 318   3.340    0.03    0.03
 319   3.340    0.02    0.04
 320   3.340    0.04    0.03
 321   3.340    0.05    0.05
 322   3.340    0.02    0.02
 323   3.340    0.09    0.03
 324   3.340    0.03    0.03
 325   3.340    0.04    0.04
 326   3.340    0.03    0.06
 327   3.340    0.04    0.03
 328   3.340    0.03    0.04
 329   3.340    0.05    0.06
 330   3.330    0.04    0.05
 331   3.330    0.03    0.04
 332   3.330    0.03    0.04
 333   3.330    0.01    0.05
 334   3.330    0.04    0.06
 335   3.440    0.05    0.05
 336   3.410    0.05    0.05
 337   3.380    0.06    0.03
 338   3.370    0.03    0.08
 339   3.360    0.05    0.03
 340   3.350    0.02    0.05
 341   3.340    0.06    0.04
 342   3.340    0.02    0.03
 343   3.340    0.03    0.04
 344   3.340    0.05    0.04
 345   3.340    0.03    0.05
 346   3.330    0.04    0.04
 347   3.330    0.04    0.06
 348   3.330    0.03    0.05
 349   3.330    0.02    0.03
 350   3.330    0.04    0.03
 351   3.330    0.05    0.05
 352   3.330    0.05    0.04
 353   3.330    0.03    0.05
 354   3.330    0.04    0.04
 355   3.330    0.03    0.04
 356   3.330    0.03    0.06
 357   3.330    0.04    0.06
 358   3.330    0.03    0.05
 359   3.330    0.01    0.03
 360   3.330    0.02    0.06
 361   3.330    0.06    0.09
 362   3.330    0.05    0.07
 363   3.330    0.03    0.08
 364   3.320    0.03    0.03
 365   3.320    0.03    0.06
