.\Solatenol_exp_ESLS1986_0VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   4.820    0.06    0.05
   2   4.820    0.09    0.08
   3   4.820    0.06    0.09
   4   4.820    0.04    0.04
   5   4.820    0.05    0.04
   6   4.820    0.02    0.03
   7   4.820    0.03    0.05
   8   4.820    0.01    0.07
   9   4.820    0.03    0.06
  10   4.815    0.03    0.04
  11   4.815    0.03    0.08
  12   4.815    0.05    0.04
  13   4.815    0.06    0.04
  14   4.815    0.05    0.06
  15   4.815    0.07    0.05
  16   4.890    0.05    0.02
  17   5.200    0.05    0.09
  18   5.200    0.03    0.04
  19   5.100    0.01    0.04
  20   5.000    0.04    0.03
  21   4.960    0.06    0.02
  22   4.920    0.11    0.05
  23   4.895    0.08    0.05
  24   4.875    0.05    0.05
  25   4.865    0.04    0.04
  26   4.855    0.06    0.04
  27   4.850    0.03    0.05
  28   4.845    0.03    0.06
  29   4.840    0.06    0.04
  30   4.835    0.01    0.05
  31   4.835    0.06    0.04
  32   4.835    0.07    0.04
  33   4.830    0.08    0.03
  34   4.855    0.03    0.05
  35   5.050    0.03    0.03
  36   5.000    0.02    0.05
  37   4.955    0.03    0.06
  38   4.920    0.03    0.05
  39   4.895    0.10    0.04
  40   4.875    0.05    0.07
  41   4.865    0.05    0.05
  42   4.855    0.12    0.05
  43   4.850    0.02    0.08
  44   4.845    0.05    0.03
  45   4.840    0.03    0.05
  46   4.840    0.10    0.05
  47   4.840    0.09    0.05
  48   4.835    0.06    0.06
  49   4.835    0.02    0.05
  50   4.840    0.05    0.07
  51   4.835    0.04    0.05
  52   4.835    0.03    0.08
  53   4.835    0.09    0.03
  54   4.835    0.04    0.05
  55   4.830    0.04    0.04
  56   4.830    0.05    0.05
  57   4.830    0.02    0.04
  58   4.830    0.07    0.05
  59   4.830    0.06    0.06
  60   4.830    0.06    0.04
  61   4.830    0.02    0.04
  62   4.830    0.02    0.06
  63   4.830    0.05    0.07
  64   4.825    0.02    0.02
  65   4.825    0.04    0.03
  66   4.825    0.05    0.04
  67   4.825    0.03    0.05
  68   4.825    0.04    0.04
  69   4.825    0.03    0.04
  70   4.825    0.06    0.06
  71   4.825    0.04    0.05
  72   4.825    0.02    0.07
  73   4.820    0.05    0.04
  74   4.820    0.07    0.04
  75   4.820    0.03    0.04
  76   4.820    0.05    0.05
  77   4.860    0.04    0.04
  78   4.845    0.04    0.03
  79   4.835    0.05    0.06
  80   4.830    0.08    0.06
  81   4.825    0.03    0.05
