.\Solatenol_exp_ESLS1986_0VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
 210   10.70    0.04    0.04
 211   10.70    0.06    0.06
 212   10.70    0.02    0.03
 213   10.70    0.03    0.02
 214   10.70    0.06    0.06
 215   10.70    0.01    0.03
 216   10.70    0.06    0.05
 217   10.90    0.03    0.05
 218   10.80    0.04    0.04
 219   11.20    0.07    0.04
 220   11.00    0.02    0.05
 221   10.90    0.03    0.03
 222   10.80    0.05    0.05
 223   10.80    0.02    0.05
 224   10.70    0.05    0.05
 225   10.70    0.03    0.05
 226   10.70    0.02    0.03
 227   10.60    0.10    0.03
 228   10.60    0.02    0.03
 229   10.60    0.05    0.05
 230   10.60    0.08    0.04
 231   10.60    0.08    0.04
 232   10.60    0.03    0.04
 233   10.60    0.05    0.03
 234   10.60    0.06    0.03
 235   10.50    0.06    0.07
 236   10.50    0.05    0.03
 237   10.50    0.03    0.04
 238   10.50    0.05    0.04
 239   10.50    0.12    0.06
 240   10.50    0.09    0.05
 241   10.50    0.05    0.05
 242   10.50    0.04    0.05
 243   10.50    0.04    0.05
 244   10.50    0.03    0.04
 245   10.50    0.06    0.05
 246   10.50    0.03    0.04
 247   10.50    0.04    0.04
 248   10.50    0.03    0.05
 249   10.50    0.03    0.06
 250   10.40    0.05    0.07
 251   10.40    0.07    0.03
 252   10.40    0.03    0.05
 253   10.40    0.03    0.04
 254   10.40    0.03    0.05
 255   10.40    0.09    0.04
 256   10.40    0.03    0.07
 257   10.40    0.04    0.03
 258   10.40    0.04    0.05
 259   10.40    0.04    0.04
 260   10.40    0.03    0.04
 261   10.40    0.07    0.07
 262   10.70    0.05    0.04
 263   10.60    0.03    0.04
 264   10.50    0.04    0.05
 265   10.70    0.05    0.05
 266   10.60    0.02    0.03
 267   12.50    0.10    0.05
 268   11.90    0.05    0.02
 269   11.50    0.04    0.06
 270   11.20    0.04    0.04
 271   10.90    0.07    0.04
 272   11.50    0.03    0.05
 273   11.20    0.03    0.04
 274   11.10    0.01    0.03
 275   10.90    0.02    0.09
 276   10.90    0.07    0.05
 277   10.80    0.06    0.06
 278   10.70    0.02    0.05
 279   10.60    0.03    0.05
 280   10.60    0.03    0.06
 281   10.50    0.07    0.06
 282   10.50    0.02    0.05
 283   10.50    0.04    0.04
 284   10.50    0.04    0.06
 285   10.50    0.04    0.05
 286   10.50    0.04    0.03
 287   10.50    0.05    0.04
 288   10.40    0.03    0.06
 289   10.40    0.05    0.04
 290   10.40    0.03    0.04
 291   10.40    0.03    0.07
 292   10.40    0.02    0.05
 293   10.40    0.04    0.04
 294   10.40    0.03    0.03
 295   10.40    0.06    0.05
 296   10.40    0.05    0.07
 297   10.40    0.06    0.03
 298   11.80    0.03    0.04
 299   11.40    0.05    0.04
 300   11.10    0.05    0.06
 301   10.90    0.03    0.06
 302   10.70    0.06    0.05
 303   10.60    0.04    0.05
 304   10.60    0.02    0.06
 305   10.50    0.04    0.06
 306   10.50    0.03    0.05
 307   10.50    0.03    0.05
 308   10.40    0.05    0.05
 309   10.40    0.08    0.07
 310   10.40    0.04    0.06
 311   10.40    0.04    0.06
 312   10.40    0.05    0.04
 313   10.40    0.10    0.04
 314   10.40    0.09    0.07
 315   10.40    0.04    0.03
 316   10.40    0.09    0.04
 317   10.40    0.06    0.05
 318   10.40    0.03    0.03
 319   10.40    0.02    0.04
 320   10.40    0.04    0.03
 321   10.40    0.05    0.05
 322   10.40    0.02    0.02
 323   10.40    0.09    0.03
 324   10.40    0.03    0.03
 325   10.40    0.04    0.04
 326   10.40    0.03    0.06
 327   10.40    0.04    0.03
 328   10.40    0.03    0.04
 329   10.40    0.05    0.06
 330   10.40    0.04    0.05
 331   10.40    0.03    0.04
 332   10.30    0.03    0.04
 333   10.30    0.01    0.05
 334   10.30    0.04    0.06
 335   11.10    0.05    0.05
 336   10.90    0.05    0.05
 337   10.70    0.06    0.03
 338   10.60    0.03    0.08
 339   10.50    0.05    0.03
 340   10.50    0.02    0.05
 341   10.60    0.06    0.04
 342   10.60    0.02    0.03
 343   10.50    0.03    0.04
 344   10.50    0.05    0.04
 345   10.40    0.03    0.05
 346   10.40    0.04    0.04
 347   10.40    0.04    0.06
 348   10.40    0.03    0.05
 349   10.40    0.02    0.03
 350   10.40    0.04    0.03
 351   10.40    0.05    0.05
 352   10.40    0.05    0.04
 353   10.40    0.03    0.05
 354   10.40    0.04    0.04
 355   10.40    0.03    0.04
 356   10.40    0.03    0.06
 357   10.40    0.04    0.06
 358   10.40    0.03    0.05
 359   10.40    0.01    0.03
 360   10.40    0.02    0.06
 361   10.40    0.06    0.09
 362   10.30    0.05    0.07
 363   10.30    0.03    0.08
 364   10.30    0.03    0.03
 365   10.30    0.03    0.06
