.\TS_CASM_Inp\T3DIGPondWater_2019.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
 209   0.053    0.05    0.06
 210   0.052    0.04    0.04
 211   0.051    0.06    0.06
 212   0.050    0.02    0.03
 213   0.025    0.03    0.02
 214   0.025    0.06    0.06
 215   0.025    0.01    0.03
 216   0.025    0.06    0.05
 217   0.025    0.03    0.05
 218   0.025    0.04    0.04
 219   0.025    0.07    0.04
 220   0.050    0.02    0.05
 221   0.057    0.03    0.03
 222   0.065    0.05    0.05
 223   0.074    0.02    0.05
 224   0.084    0.05    0.05
 225   0.095    0.03    0.05
 226   0.108    0.02    0.03
 227   0.123    0.10    0.03
 228   0.140    0.02    0.03
 229   0.159    0.05    0.05
 230   0.181    0.08    0.04
 231   0.206    0.08    0.04
 232   0.235    0.03    0.04
 233   0.267    0.05    0.03
 234   0.303    0.06    0.03
 235   0.345    0.06    0.07
 236   0.393    0.05    0.03
 237   0.447    0.03    0.04
 238   0.508    0.05    0.04
 239   0.578    0.12    0.06
 240   0.558    0.09    0.05
 241   0.539    0.05    0.05
 242   0.521    0.04    0.05
 243   0.503    0.04    0.05
 244   0.486    0.03    0.04
 245   0.470    0.06    0.05
 246   0.454    0.03    0.04
 247   0.438    0.04    0.04
 248   0.424    0.03    0.05
 249   0.409    0.03    0.06
 250   0.395    0.05    0.07
 251   0.382    0.07    0.03
 252   0.369    0.03    0.05
 253   0.356    0.03    0.04
 254   0.344    0.03    0.05
 255   0.333    0.09    0.04
 256   0.321    0.03    0.07
 257   0.311    0.04    0.03
 258   0.300    0.04    0.05
 259   0.290    0.04    0.04
 260   0.280    0.03    0.04
 261   0.271    0.07    0.07
 262   0.261    0.05    0.04
 263   0.253    0.03    0.04
 264   0.244    0.04    0.05
 265   0.236    0.05    0.05
 266   0.228    0.02    0.03
 267   0.220    0.10    0.05
 268   0.221    0.05    0.02
 269   0.222    0.04    0.06
 270   0.224    0.04    0.04
 271   0.225    0.07    0.04
 272   0.226    0.03    0.05
 273   0.227    0.03    0.04
 274   0.228    0.01    0.03
 275   0.230    0.02    0.09
 276   0.231    0.07    0.05
 277   0.232    0.06    0.06
 278   0.233    0.02    0.05
 279   0.235    0.03    0.05
 280   0.236    0.03    0.06
 281   0.237    0.07    0.06
 282   0.238    0.02    0.05
 283   0.240    0.04    0.04
 284   0.241    0.04    0.06
 285   0.242    0.04    0.05
 286   0.244    0.04    0.03
 287   0.245    0.05    0.04
 288   0.246    0.03    0.06
 289   0.248    0.05    0.04
 290   0.249    0.03    0.04
 291   0.250    0.03    0.07
 292   0.252    0.02    0.05
 293   0.253    0.04    0.04
 294   0.254    0.03    0.03
 295   0.256    0.06    0.05
 296   0.252    0.05    0.07
 297   0.249    0.06    0.03
 298   0.245    0.03    0.04
 299   0.242    0.05    0.04
 300   0.239    0.05    0.06
 301   0.236    0.03    0.06
 302   0.232    0.06    0.05
 303   0.229    0.04    0.05
 304   0.226    0.02    0.06
 305   0.223    0.04    0.06
 306   0.220    0.03    0.05
 307   0.217    0.03    0.05
 308   0.214    0.05    0.05
 309   0.211    0.08    0.07
 310   0.208    0.04    0.06
 311   0.205    0.04    0.06
 312   0.203    0.05    0.04
 313   0.200    0.10    0.04
 314   0.197    0.09    0.07
 315   0.194    0.04    0.03
 316   0.192    0.09    0.04
 317   0.189    0.06    0.05
 318   0.187    0.03    0.03
 319   0.184    0.02    0.04
 320   0.182    0.04    0.03
 321   0.179    0.05    0.05
 322   0.177    0.02    0.02
 323   0.174    0.09    0.03
 324   0.010    0.03    0.03
 325   0.010    0.04    0.04
 326   0.010    0.03    0.06
 327   0.010    0.04    0.03
 328   0.010    0.03    0.04
 329   0.010    0.05    0.06
 330   0.010    0.04    0.05
 331   0.010    0.03    0.04
 332   0.010    0.03    0.04
 333   0.010    0.01    0.05
 334   0.010    0.04    0.06
 335   0.010    0.05    0.05
 336   0.010    0.05    0.05
 337   0.010    0.06    0.03
 338   0.010    0.03    0.08
 339   0.010    0.05    0.03
 340   0.010    0.02    0.05
 341   0.010    0.06    0.04
 342   0.010    0.02    0.03
 343   0.010    0.03    0.04
 344   0.010    0.05    0.04
 345   0.010    0.03    0.05
 346   0.010    0.04    0.04
 347   0.010    0.04    0.06
 348   0.010    0.03    0.05
 349   0.010    0.02    0.03
 350   0.010    0.04    0.03
 351   0.010    0.05    0.05
 352   0.010    0.05    0.04
 353   0.010    0.03    0.05
 354   0.010    0.04    0.04
 355   0.010    0.03    0.04
 356   0.010    0.03    0.06
 357   0.010    0.04    0.06
 358   0.010    0.03    0.05
 359   0.010    0.01    0.03
 360   0.010    0.02    0.06
 361   0.010    0.06    0.09
 362   0.010    0.05    0.07
 363   0.010    0.03    0.08
 364   0.010    0.03    0.03
 365   0.010    0.03    0.06
