CASM-OC Iowa    oxbow:  2010.000
fktrN  1.0000                                                                                   
fktrP  1.0000                                                                                         
fktrS  1.0000                                                                                         
                   Te      Th      I0         N       P       Si      depth   velocit TIS     POCe    wind    salinity
             DOY   C       C       eins/m2    mg/L    mg/L    mg/L    m       m/s     mg/L    mg/L    m/s     psu
--------------------------------------------------------------------------------------------------------------------
             253  19.550  19.550  47.157      0.940   0.129  12.560   1.200   0.008  61.700   0.659   3.070   0.000
             254  19.050  19.050  73.980      0.940   0.131  11.568   1.200   0.006  50.000   0.537   2.520   0.000
             255  19.350  19.350  75.529      0.940   0.134  10.888   1.200   0.007  42.450   0.536   2.830   0.000
             256  19.000  19.000  56.777      0.940   0.137  10.855   1.200   0.001  42.900   0.409   0.570   0.000
             257  18.450  18.450  67.050      0.940   0.140  10.550   1.200   0.002  46.000   0.461   0.710   0.000
             258  18.950  18.950  56.533      0.940   0.143  10.335   1.200   0.002  37.500   0.535   0.990   0.000
             259  18.850  18.850  45.363      0.941   0.147  10.148   1.200   0.005  51.000   0.403   2.040   0.000
             260  17.900  17.900  70.556      0.941   0.150   9.813   1.200   0.012  42.000   1.492   4.680   0.000
             261  18.650  18.650  60.691      0.941   0.154  11.313   1.200   0.005  45.500   0.974   1.830   0.000
             262  18.450  18.450  39.085      0.941   0.157  10.733   1.200   0.011  36.000   0.678   4.370   0.000
             263  19.050  19.050  67.865      0.941   0.161  11.073   1.200   0.009  37.500   0.611   3.640   0.000
             264  18.400  18.400  47.320      0.942   0.165  10.150   1.200   0.007  38.000   1.621   2.960   0.000
             265  18.000  18.000  50.173      0.942   0.169  10.212   1.200   0.003  39.000   0.881   1.110   0.000
             266  18.500  18.500  45.689      0.942   0.174  10.698   1.200   0.005  32.500   0.566   2.090   0.000
             267  17.800  17.800  72.431      0.943   0.178   9.912   1.200   0.006  33.500   0.567   2.400   0.000
             268  18.000  18.000  44.385      0.943   0.183  10.230   1.200   0.011  27.000   0.423   4.280   0.000
             269  18.300  18.300  73.491      0.943   0.187   9.988   1.200   0.007  33.000   0.472   2.830   0.000
             270  17.600  17.600  59.223      0.944   0.192  10.292   1.200   0.007  32.500   0.350   2.770   0.000
             271  17.350  17.350  69.904      0.944   0.197  10.146   1.200   0.008  32.000   0.390   3.010   0.000
             272  16.450  16.450  67.132      0.944   0.202  10.125   1.200   0.015  24.500   0.297   5.940   0.000
             273  16.050  16.050  66.316      0.945   0.207   9.878   1.200   0.014  23.000   0.238   5.470   0.000
             274  15.950  15.950  71.127      0.945   0.213   8.980   1.200   0.010  20.750   0.197   3.850   0.000
             275  15.750  15.750  64.197      0.946   0.218   8.860   1.200   0.008  19.000   0.325   3.010   0.000
             276  15.650  15.650  69.088      0.946   0.224   9.303   1.200   0.011  17.000   0.246   4.310   0.000
             277  14.600  14.600  65.583      0.947   0.230  10.083   1.200   0.010  16.500   0.714   3.830   0.000
             278  13.950  13.950  70.067      0.947   0.236   9.680   1.200   0.006   9.500   3.787   2.510   0.000
             279  13.350  13.350  66.235      0.948   0.242   8.617   1.200   0.009   9.100   2.099   3.570   0.000
             280  13.300  13.300  67.539      0.948   0.248   9.953   1.200   0.006  14.050   0.541   2.240   0.000
             281  13.500  13.500  67.376      0.949   0.254  10.250   1.200   0.004  14.500   0.283   1.760   0.000
             282  14.000  14.000  65.338      0.949   0.261  10.607   1.200   0.011  14.000   0.404   4.520   0.000
             283  13.100  13.100  55.717      0.950   0.267  10.827   1.200   0.007  13.500   0.269   2.650   0.000
             284  11.700  11.700  45.771      0.950   0.274  10.800   1.200   0.004  14.350   0.282   1.480   0.000
             285  12.400  12.400  60.609      0.951   0.281  11.067   1.200   0.008  16.500   0.246   3.350   0.000
             286  12.200  12.200  58.489      0.952   0.288   9.740   1.200   0.018  18.000   2.309   7.000   0.000
             287  12.200  12.200  61.914      0.952   0.295  10.860   1.200   0.011  19.500   0.544   4.530   0.000
             288  12.000  12.000  61.261      0.953   0.302  10.677   1.200   0.006  13.500   0.315   2.260   0.000
             289  11.300  11.300  59.712      0.954   0.310  10.867   1.200   0.010  20.500   0.431   4.170   0.000
             290  11.750  11.750  58.816      0.954   0.317  10.847   1.200   0.010  30.500   0.265   3.840   0.000
             291  11.000  11.000  50.092      0.955   0.325  11.387   1.200   0.005  17.900   0.293   1.980   0.000
             292  11.700  11.700  53.434      0.956   0.333  12.197   1.200   0.003  20.000   0.231   1.160   0.000
             293  11.800  11.800  54.902      0.956   0.340  11.997   1.200   0.010  20.000   0.206   4.140   0.000
             294  11.350  11.350  60.120      0.957   0.349  11.320   1.200   0.008  18.050   0.689   3.040   0.000
             295  12.000  12.000  54.168      0.958   0.357  11.397   1.200   0.008  21.000   0.593   3.070   0.000
             296  12.200  12.200  46.830      0.959   0.365  11.453   1.200   0.005  18.500   0.609   2.060   0.000
             297  11.400  11.400  45.200      0.960   0.374  12.123   1.200   0.007  16.500   0.377   2.840   0.000
             298  10.750  10.750  42.183      0.960   0.382  12.697   1.200   0.012  16.000   0.253   4.620   0.000
             299  10.100  10.100  41.042      0.961   0.391  12.125   1.200   0.014  16.500   0.272   5.440   0.000
             300   9.950   9.950  50.907      0.962   0.400  12.288   1.200   0.013  21.000   0.262   5.370   0.000
             301   9.650   9.650  57.103      0.963   0.409  12.733   1.200   0.009  16.000   0.181   3.690   0.000
             302   8.250   8.250  51.967      0.964   0.418  12.785   1.200   0.007  16.500   0.127   2.860   0.000
             303   9.500   9.500  46.749      0.965   0.427  13.060   1.200   0.009  15.100   0.184   3.490   0.000
             304   9.150   9.150  42.591      0.965   0.437  12.813   1.200   0.015  19.600   0.170   5.830   0.000
             305   8.900   8.900  48.869      0.966   0.446  11.315   1.200   0.010  32.500   0.985   4.060   0.000
             306   8.550   8.550  58.489      0.967   0.456  11.090   1.200   0.012  29.500   0.342   4.820   0.000
             307   8.000   8.000  54.739      0.968   0.466  10.725   1.200   0.011  30.000   0.610   4.320   0.000
             308   8.200   8.200  53.027      0.969   0.476   9.488   1.200   0.009  29.000   0.584   3.560   0.000
             309   8.150   8.150  56.940      0.970   0.486   9.092   1.200   0.006  21.000   0.290   2.400   0.000
             310   7.800   7.800  51.967      0.971   0.496   9.168   1.200   0.010  18.500   0.180   3.840   0.000
             311   6.650   6.650  46.504      0.972   0.506   9.628   1.200   0.012  18.500   0.090   4.670   0.000
             312   6.150   6.150  54.168      0.973   0.517   9.820   1.200   0.015  19.500   0.086   6.090   0.000
             313   6.500   6.500  47.564      0.974   0.528   9.770   1.200   0.009  18.500   0.184   3.710   0.000
             314   6.750   6.750  47.320      0.975   0.538  10.000   1.200   0.005  16.000   0.219   1.930   0.000
             315   4.300   4.300  47.401      0.976   0.549   9.244   1.200   0.007  13.000   2.977   2.670   0.000
             316   2.900   2.900  35.473      0.977   0.560   9.545   1.200   0.009  14.000   0.460   3.630   0.000
             317   2.350   2.350  36.060      0.979   0.572   9.268   1.200   0.006  15.500   0.290   2.570   0.000
             318   3.700   3.700  41.042      0.980   0.583   9.755   1.200   0.014  16.500   0.184   5.720   0.000
             319   4.600   4.600  49.603      0.981   0.594   9.883   1.200   0.007  23.000   0.126   2.770   0.000
             320   4.850   4.850  36.443      0.982   0.606   9.250   1.200   0.011  14.500   0.219   4.370   0.000
             321   5.250   5.250  36.916      0.983   0.618   9.353   1.200   0.013  14.000   0.103   5.190   0.000
             322   4.600   4.600  38.759      0.984   0.629   9.445   1.200   0.010  14.000   0.089   3.890   0.000
             323   3.600   3.600  37.055      0.986   0.641   8.870   1.200   0.010  14.500   0.255   3.800   0.000
             324   2.850   2.850  38.270      0.987   0.654   9.088   1.200   0.007  24.500   0.579   2.760   0.000
             325   2.350   2.350  35.604      0.988   0.666   9.022   1.200   0.007  27.500   0.285   2.800   0.000
             326   2.100   2.100  35.204      0.989   0.678   9.226   1.200   0.011  22.000   0.210   4.300   0.000
             327   3.000   3.000  49.766      0.990   0.691  10.724   1.200   0.013  18.000   0.234   5.230   0.000
             328   3.500   3.500  34.405      0.992   0.703  10.058   1.200   0.009  17.500   1.083   3.560   0.000
             329   3.400   3.400  48.950      0.993   0.716  10.596   1.200   0.014  14.500   0.355   5.690   0.000
             330   2.200   2.200  36.729      0.994   0.729   9.790   1.200   0.017  16.500   0.720   6.720   0.000
             331   2.600   2.600  46.178      0.996   0.742   9.460   1.200   0.010  17.500   0.557   4.000   0.000
             332   2.500   2.500  40.797      0.997   0.756   8.628   1.200   0.012  14.500   0.992   4.970   0.000
             333   1.500   1.500  37.030      0.998   0.769   9.138   1.200   0.008  17.000   0.545   3.110   0.000
             334   1.450   1.450  35.612      1.000   0.782   9.423   1.200   0.009  15.500   0.329   3.630   0.000
             335   1.750   1.750  46.097      1.001   0.796   9.304   1.200   0.013  12.500   0.626   5.040   0.000
             336   1.900   1.900  48.380      1.003   0.810   9.592   1.200   0.002  13.500   0.196   0.840   0.000
             337   1.700   1.700  36.574      1.004   0.824   9.513   1.200   0.008  14.000   0.083   3.160   0.000
             338   3.100   3.100  36.052      1.005   0.838   9.628   1.200   0.013  17.000   0.483   5.240   0.000
             339   1.000   1.000  49.032      1.007   0.852   9.965   1.200   0.014  21.000   0.126   5.710   0.000
             340   0.550   0.550  45.771      1.008   0.866  10.553   1.200   0.019  17.500   0.138   7.440   0.000
             341   0.300   0.300  37.511      1.010   0.881  10.527   1.200   0.014  18.500   0.143   5.440   0.000
             342   0.350   0.350  48.869      1.011   0.895  10.357   1.200   0.007  15.000   0.343   2.960   0.000
             343   0.250   0.250  37.927      1.013   0.910  10.690   1.200   0.008  13.000   0.288   3.040   0.000
             344   0.300   0.300  39.982      1.014   0.925  10.068   1.200   0.011  11.000   0.170   4.240   0.000
             345   0.300   0.300  35.204      1.016   0.940   9.638   1.200   0.009  10.000   0.148   3.480   0.000
             346   0.300   0.300  49.766      1.017   0.955   9.228   1.200   0.009  11.500   0.108   3.480   0.000
             347   0.550   0.550  43.162      1.019   0.970   8.908   1.200   0.015  12.000   0.138   6.100   0.000
             348   0.750   0.750  35.025      1.021   0.985   9.494   1.200   0.008  12.000   0.544   3.230   0.000
             349   0.600   0.600  37.389      1.022   1.001   9.898   1.200   0.008  11.000   0.332   3.260   0.000
             350   0.850   0.850  35.457      1.024   1.017   9.154   1.200   0.011  11.500   0.378   4.470   0.000
             351   0.550   0.550  43.977      1.025   1.032   9.968   1.200   0.003  10.500   0.186   1.320   0.000
             352   0.700   0.700  47.401      1.027   1.048  10.213   1.200   0.007  11.500   0.718   2.750   0.000
             353   0.850   0.850  35.840      1.029   1.064  10.268   1.200   0.009  11.500   0.520   3.540   0.000
             354   0.400   0.400  35.163      1.030   1.081  10.143   1.200   0.005  11.500   0.203   2.170   0.000
             355   0.650   0.650  39.248      1.032   1.097   9.948   1.200   0.009  13.000   0.370   3.500   0.000
             356   0.550   0.550  34.902      1.034   1.113   8.530   1.200   0.011  13.000   1.141   4.400   0.000
             357   0.550   0.550  35.400      1.036   1.130   8.958   1.200   0.011  14.000   1.076   4.390   0.000
             358   0.350   0.350  37.927      1.037   1.147   9.035   1.200   0.010  18.000   2.215   3.860   0.000
             359   0.600   0.600  34.536      1.039   1.164   9.893   1.200   0.013  15.000   0.736   5.100   0.000
             360   1.000   1.000  34.992      1.041   1.181  10.360   1.200   0.015  14.000   0.526   6.110   0.000
             361   1.450   1.450  35.057      1.043   1.198  10.470   1.200   0.007  13.000   0.306   2.940   0.000
             362   0.300   0.300  42.183      1.044   1.215  10.203   1.200   0.006  13.000   0.477   2.480   0.000
             363   0.200   0.200  36.346      1.046   1.232  11.007   1.200   0.008  12.000   0.677   3.090   0.000
             364   0.200   0.200  41.939      1.048   1.250  10.573   1.200   0.010  16.500   1.379   3.820   0.000
             365   0.500   0.500  33.631      1.050   1.268  10.270   1.200   0.009  21.000   0.639   3.510   0.000
