CASM-OC Iowa    oxbow:  2010.000
fktrN  1.0000                                                                                   
fktrP  1.0000                                                                                         
fktrS  1.0000                                                                                         
                   Te      Th      I0         N       P       Si      depth   velocit TIS     POCe    wind    salinity
             DOY   C       C       eins/m2    mg/L    mg/L    mg/L    m       m/s     mg/L    mg/L    m/s     psu
--------------------------------------------------------------------------------------------------------------------
              60   0.550   0.550  49.929      1.212   2.152  11.205   1.200   0.013  31.000   0.240   5.330   0.000
              61   0.600   0.600  55.717      1.209   2.128   6.345   1.200   0.013  27.000   2.509   5.050   0.000
              62   0.550   0.550  66.479      1.206   2.105   6.793   1.200   0.014  23.000   0.210   5.700   0.000
              63   0.550   0.550  53.679      1.203   2.082   5.943   1.200   0.007  55.000   0.617   2.990   0.000
              64   0.500   0.500  69.088      1.200   2.059   7.930   1.200   0.011  36.000   0.962   4.380   0.000
              65   0.800   0.800  45.037      1.197   2.036   7.715   1.200   0.017  40.000   0.456   6.620   0.000
              66   0.900   0.900  38.596      1.194   2.013   8.163   1.200   0.011  46.000   0.491   4.290   0.000
              67   0.800   0.800  62.566      1.192   1.990   5.243   1.200   0.014 184.000   3.040   5.590   0.000
              68   0.750   0.750  38.107      1.189   1.968   8.690   1.200   0.015 249.000   0.779   5.800   0.000
              69   0.700   0.700  39.085      1.186   1.945   8.873   1.200   0.014 205.000   0.628   5.430   0.000
              70   0.600   0.600  40.960      1.183   1.923   9.093   1.200   0.012 193.000   0.535   4.660   0.000
              71   0.950   0.950  40.553      1.180   1.901   8.958   1.200   0.004 202.000   0.454   1.740   0.000
              72   2.000   2.000  38.514      1.178   1.879   9.138   1.200   0.014 206.000   0.322   5.530   0.000
              73   2.800   2.800  65.827      1.175   1.857   8.385   1.200   0.019 213.000   0.177   7.540   0.000
              74   3.800   3.800  43.651      1.172   1.835   8.960   1.200   0.018 207.000   0.200   7.330   0.000
              75   2.300   2.300  40.879      1.170   1.814   7.977   1.200   0.007 168.000   1.184   2.840   0.000
              76   3.800   3.800  55.880      1.167   1.792   6.995   1.200   0.013 153.000   0.722   5.260   0.000
              77   5.000   5.000  61.914      1.164   1.771   7.840   1.200   0.015 163.000   0.378   6.010   0.000
              78   4.700   4.700  43.732      1.162   1.750   8.273   1.200   0.011 140.000   0.242   4.410   0.000
              79   4.700   4.700  61.424      1.159   1.729   7.655   1.200   0.008 113.000   0.322   3.040   0.000
              80   4.900   4.900  74.633      1.156   1.708   7.463   1.200   0.010 107.000   3.325   4.000   0.000
              81   5.600   5.600  52.619      1.154   1.687   7.670   1.200   0.013 105.000   1.171   5.320   0.000
              82   5.400   5.400  60.528      1.151   1.666   7.733   1.200   0.010 103.000   1.140   4.170   0.000
              83   4.600   4.600  44.629      1.149   1.646   6.218   1.200   0.009  87.000   0.425   3.670   0.000
              84   4.800   4.800  68.844      1.146   1.625   5.473   1.200   0.017  85.000   0.481   6.910   0.000
              85   4.700   4.700  52.048      1.143   1.605   5.155   1.200   0.013  72.000   0.314   5.300   0.000
              86   5.350   5.350  61.424      1.141   1.585   6.210   1.200   0.015  39.000   0.359   5.800   0.000
              87   6.000   6.000  62.077      1.138   1.565   9.030   1.200   0.014  39.000   0.316   5.720   0.000
              88   6.550   6.550  74.062      1.136   1.545   8.305   1.200   0.016  39.000   0.840   6.520   0.000
              89   5.950   5.950  53.353      1.133   1.526   8.018   1.200   0.011  38.000   0.518   4.360   0.000
              90   6.050   6.050  56.777      1.131   1.506   7.533   1.200   0.016  38.000   1.471   6.440   0.000
              91   5.650   5.650  48.787      1.129   1.487   6.783   1.200   0.006  38.000   0.312   2.340   0.000
              92   6.200   6.200  47.157      1.126   1.467   6.450   1.200   0.005  40.000   0.239   1.820   0.000
              93   6.600   6.600  70.474      1.124   1.448   8.362   1.200   0.008  48.000   0.317   3.380   0.000
              94   6.850   6.850  50.989      1.121   1.429   8.582   1.200   0.006  60.000   1.754   2.370   0.000
              95   7.350   7.350  48.950      1.119   1.410   8.315   1.200   0.016  75.000   0.541   6.560   0.000
